2026-04-08 10:14:58.012, linear.x: 0.504, angular.z: -0.135
2026-04-08 10:14:58.061, linear.x: 0.498, angular.z: -0.124
2026-04-08 10:14:58.111, linear.x: 0.493, angular.z: -0.119
2026-04-08 10:14:58.161, linear.x: 0.487, angular.z: -0.104
2026-04-08 10:14:58.211, linear.x: 0.482, angular.z: -0.095
2026-04-08 10:14:58.261, linear.x: 0.475, angular.z: -0.077
2026-04-08 10:14:58.311, linear.x: 0.475, angular.z: -0.067
2026-04-08 10:14:58.361, linear.x: 0.518, angular.z: -0.226
2026-04-08 10:14:58.412, linear.x: 0.525, angular.z: -0.213
2026-04-08 10:14:58.460, linear.x: 0.533, angular.z: -0.206
2026-04-08 10:14:58.511, linear.x: 0.540, angular.z: -0.180
2026-04-08 10:14:58.560, linear.x: 0.549, angular.z: -0.161
2026-04-08 10:14:58.610, linear.x: 0.637, angular.z: -0.047
2026-04-08 10:14:58.660, linear.x: 0.651, angular.z: -0.018
2026-04-08 10:14:58.710, linear.x: 0.651, angular.z: -0.010
2026-04-08 10:14:58.760, linear.x: 0.639, angular.z: -0.042
2026-04-08 10:14:58.810, linear.x: 0.643, angular.z: -0.036
2026-04-08 10:14:58.862, linear.x: 0.657, angular.z: -0.047
2026-04-08 10:14:58.911, linear.x: 0.675, angular.z: -0.028
2026-04-08 10:14:58.961, linear.x: 0.697, angular.z: -0.037
2026-04-08 10:14:59.010, linear.x: 0.720, angular.z: -0.013
2026-04-08 10:14:59.060, linear.x: 0.741, angular.z: 0.004
2026-04-08 10:14:59.110, linear.x: 0.756, angular.z: -0.039
2026-04-08 10:14:59.160, linear.x: 0.770, angular.z: -0.062
2026-04-08 10:14:59.211, linear.x: 0.779, angular.z: -0.055
2026-04-08 10:14:59.261, linear.x: 0.786, angular.z: -0.077
2026-04-08 10:14:59.313, linear.x: 0.792, angular.z: -0.123
2026-04-08 10:14:59.361, linear.x: 0.791, angular.z: -0.116
2026-04-08 10:14:59.410, linear.x: 0.782, angular.z: -0.125
2026-04-08 10:14:59.461, linear.x: 0.745, angular.z: -0.106
2026-04-08 10:14:59.511, linear.x: 0.740, angular.z: -0.092
2026-04-08 10:14:59.561, linear.x: 0.741, angular.z: -0.086
2026-04-08 10:14:59.611, linear.x: 0.749, angular.z: -0.087
2026-04-08 10:14:59.661, linear.x: 0.758, angular.z: -0.094
2026-04-08 10:14:59.711, linear.x: 0.766, angular.z: -0.103
2026-04-08 10:14:59.761, linear.x: 0.770, angular.z: -0.098
2026-04-08 10:14:59.810, linear.x: 0.776, angular.z: -0.088
2026-04-08 10:14:59.861, linear.x: 0.781, angular.z: -0.072
2026-04-08 10:14:59.910, linear.x: 0.787, angular.z: -0.063
2026-04-08 10:14:59.961, linear.x: 0.787, angular.z: -0.037
2026-04-08 10:15:00.011, linear.x: 0.790, angular.z: -0.024
2026-04-08 10:15:00.062, linear.x: 0.789, angular.z: -0.003
2026-04-08 10:15:00.110, linear.x: 0.788, angular.z: 0.007
2026-04-08 10:15:00.161, linear.x: 0.784, angular.z: 0.018
2026-04-08 10:15:00.211, linear.x: 0.782, angular.z: 0.029
2026-04-08 10:15:00.260, linear.x: 0.779, angular.z: 0.041
2026-04-08 10:15:00.311, linear.x: 0.774, angular.z: 0.047
2026-04-08 10:15:00.361, linear.x: 0.769, angular.z: 0.052
2026-04-08 10:15:00.411, linear.x: 0.773, angular.z: 0.185
2026-04-08 10:15:00.461, linear.x: 0.783, angular.z: 0.259
2026-04-08 10:15:00.511, linear.x: 0.715, angular.z: 0.284
2026-04-08 10:15:00.560, linear.x: 0.656, angular.z: 0.278
2026-04-08 10:15:00.611, linear.x: 0.621, angular.z: 0.264
2026-04-08 10:15:00.661, linear.x: 0.598, angular.z: 0.190
2026-04-08 10:15:00.711, linear.x: 0.587, angular.z: 0.183
2026-04-08 10:15:00.760, linear.x: 0.585, angular.z: 0.206
2026-04-08 10:15:00.812, linear.x: 0.584, angular.z: 0.233
2026-04-08 10:15:00.860, linear.x: 0.601, angular.z: 0.261
2026-04-08 10:15:00.911, linear.x: 0.605, angular.z: 0.257
2026-04-08 10:15:00.961, linear.x: 0.612, angular.z: 0.238
2026-04-08 10:15:01.011, linear.x: 0.618, angular.z: 0.263
2026-04-08 10:15:01.061, linear.x: 0.637, angular.z: 0.261
2026-04-08 10:15:01.111, linear.x: 0.660, angular.z: 0.245
2026-04-08 10:15:01.160, linear.x: 0.670, angular.z: 0.215
2026-04-08 10:15:01.211, linear.x: 0.677, angular.z: 0.171
2026-04-08 10:15:01.261, linear.x: 0.694, angular.z: 0.138
2026-04-08 10:15:01.311, linear.x: 0.701, angular.z: 0.112
2026-04-08 10:15:01.361, linear.x: 0.711, angular.z: 0.082
2026-04-08 10:15:01.411, linear.x: 0.709, angular.z: 0.043
2026-04-08 10:15:01.460, linear.x: 0.712, angular.z: 0.008
2026-04-08 10:15:01.511, linear.x: 0.708, angular.z: 0.000
2026-04-08 10:15:01.560, linear.x: 0.706, angular.z: -0.010
2026-04-08 10:15:01.611, linear.x: 0.683, angular.z: -0.008
2026-04-08 10:15:01.661, linear.x: 0.679, angular.z: -0.005
2026-04-08 10:15:01.711, linear.x: 0.669, angular.z: -0.030
2026-04-08 10:15:01.760, linear.x: 0.681, angular.z: -0.064
2026-04-08 10:15:01.811, linear.x: 0.716, angular.z: -0.068
2026-04-08 10:15:01.861, linear.x: 0.750, angular.z: -0.077
2026-04-08 10:15:01.911, linear.x: 0.758, angular.z: -0.078
2026-04-08 10:15:01.960, linear.x: 0.695, angular.z: -0.078
2026-04-08 10:15:02.010, linear.x: 0.659, angular.z: -0.073
2026-04-08 10:15:02.061, linear.x: 0.621, angular.z: -0.060
2026-04-08 10:15:02.111, linear.x: 0.605, angular.z: -0.052
2026-04-08 10:15:02.160, linear.x: 0.594, angular.z: -0.049
2026-04-08 10:15:02.211, linear.x: 0.593, angular.z: -0.055
2026-04-08 10:15:02.261, linear.x: 0.586, angular.z: -0.051
2026-04-08 10:15:02.310, linear.x: 0.578, angular.z: -0.036
2026-04-08 10:15:02.361, linear.x: 0.574, angular.z: -0.026
2026-04-08 10:15:02.411, linear.x: 0.575, angular.z: -0.023
2026-04-08 10:15:02.461, linear.x: 0.575, angular.z: -0.024
2026-04-08 10:15:02.511, linear.x: 0.572, angular.z: -0.024
2026-04-08 10:15:02.560, linear.x: 0.570, angular.z: -0.027
2026-04-08 10:15:02.611, linear.x: 0.566, angular.z: -0.024
2026-04-08 10:15:02.661, linear.x: 0.377, angular.z: -0.021
2026-04-08 10:15:02.711, linear.x: 0.202, angular.z: -0.009
2026-04-08 10:15:02.760, linear.x: 0.073, angular.z: 0.006
2026-04-08 10:15:02.811, linear.x: -0.001, angular.z: 0.009
2026-04-08 10:15:02.860, linear.x: -0.041, angular.z: 0.000
2026-04-08 10:15:02.910, linear.x: -0.175, angular.z: -0.077
2026-04-08 10:15:02.960, linear.x: -0.300, angular.z: -0.259
2026-04-08 10:15:03.011, linear.x: -0.420, angular.z: -0.475
2026-04-08 10:15:03.061, linear.x: -0.405, angular.z: -0.435
2026-04-08 10:15:03.110, linear.x: -0.376, angular.z: -0.385
2026-04-08 10:15:03.161, linear.x: -0.341, angular.z: -0.342
2026-04-08 10:15:03.210, linear.x: -0.325, angular.z: -0.290
2026-04-08 10:15:03.261, linear.x: -0.321, angular.z: -0.284
2026-04-08 10:15:03.310, linear.x: -0.322, angular.z: -0.245
2026-04-08 10:15:03.361, linear.x: -0.328, angular.z: -0.273
2026-04-08 10:15:03.411, linear.x: -0.333, angular.z: -0.225
2026-04-08 10:15:03.461, linear.x: -0.424, angular.z: -0.440
2026-04-08 10:15:03.510, linear.x: -0.424, angular.z: -0.443
2026-04-08 10:15:03.561, linear.x: -0.426, angular.z: -0.676
